Player,Position,Team,Target Share,Catch Rate,Proj. Receptions,Final YpC,Proj. Receiving Yards,Proj. RecTDs,ATTD Prob. %,Standard Fantasy Score,PPR Fantasy Score
Amari Cooper,WR,CLE,0.2484462431885077,0.5557516509207486,4.453324263788547,12.15676086031849,54.13799810833126,0.5654428079193216,36.53565058371156,8.806456658349056,13.259780922137603
Dallas Goedert,TE,PHI,0.199108523475411,0.7301047154553242,4.203294148213718,12.485196265777988,52.478952403244385,0.24901081219418947,23.37930500666138,6.741960113489576,10.945254261703294
George Kittle,TE,SF,0.2120740228399789,0.7018979424229409,4.659291858950933,10.928344523104354,50.91834666831113,0.27196582067043573,24.989073513608606,6.723629590853728,11.38292144980466
Deebo Samuel,WR,SF,0.18894942087574695,0.6280393526538414,3.7144190166778555,13.689166693187397,50.84730108764838,0.2263532657154254,29.962331453110718,6.442849703057391,10.157268719735246
Trey McBride,TE,ARI,0.2330081446097818,0.6611417447410247,4.795793432947474,10.600421999116522,50.83743420983495,0.27351981018767085,23.703321382936437,6.7248622821095205,11.520655715056995
Allen Lazard,WR,NYJ,0.18476256106090738,0.623268668098148,3.934338494991532,12.775712016354642,50.263975586869954,0.23614338511493685,21.029170452497283,6.443257869376617,10.377596364368149
Tucker Kraft,TE,GB,0.16435228084115042,0.6604986487221873,3.83959942661716,13.012387129679968,49.962354162039716,0.2231403218730659,18.301327089308003,6.3350773474423665,10.174676774059527
Tyler Lockett,WR,SEA,0.17077081919197631,0.6545054699721597,3.912811383757285,12.564582017956157,49.16283955201093,0.2213519648567628,22.920865597584992,6.24439574434167,10.157207128098955
Christian Kirk,WR,JAC,0.19531956244710158,0.6205523487385868,3.9676375132480017,12.345295159233089,48.98165618589217,0.24724654915119948,24.261760984516688,6.381644913496414,10.349282426744416
Jerry Jeudy,WR,CLE,0.19128571354426407,0.5964484852774627,3.6798201966810864,13.146498041150457,48.37674900745379,0.26970856263267495,25.135839442466978,6.455926276541428,10.135746473222515
Jaxon Smith-Njigba,WR,SEA,0.1970934027210948,0.6858583183315172,4.73225859651336,10.156719789558894,48.06422453651744,0.24041944003777801,22.289138011124308,6.248939093878413,10.981197690391774
Romeo Doubs,WR,GB,0.15366647743572057,0.589221874634876,3.2025524160107497,14.965678956638099,47.92837129982258,0.20347337753943853,22.052973523928806,6.01367739521889,9.21622981122964
Dalton Kincaid,TE,BUF,0.19801057742990194,0.6259622829370762,3.7341612374417883,12.081942665853967,45.11592197582599,0.22304214721626248,18.47035443817466,5.849845080880174,9.584006318321961
Michael Wilson,WR,ARI,0.18098888869115237,0.6820610324047937,3.8429960570433552,11.725080735808248,45.0594390362261,0.2146494905150788,21.558220950722585,5.793840846713083,9.63683690375644
Ray-Ray McCloud,WR,ATL,0.18183632772036193,0.6615617480415575,4.07218068235895,11.006461825972591,44.8203012288468,0.2525343890171954,26.716572350502293,5.997236456987853,10.069417139346804
Quentin Johnston,WR,LAC,0.19768450305643562,0.6332063516742951,3.762361773480835,11.824323382032238,44.48738228983372,0.21698470482325388,20.419166691331313,5.750646457922895,9.51300823140373
Dontayvion Wicks,WR,GB,0.1875005327450774,0.5139163305357383,3.4082635780341386,12.675136335248064,43.200205518043084,0.21409172950153932,20.266003768631343,5.604570928813544,9.012834506847682
Jake Ferguson,TE,DAL,0.16796969803508696,0.6735761284432069,3.9754812005551123,10.593435404625794,42.11400330038478,0.26971272106682187,24.362262663117487,5.829676656439409,9.805157856994521
Sam LaPorta,TE,DET,0.1250223212724846,0.7337843388588426,3.0692481759818753,13.683118211154149,41.99688561132925,0.17332133477359474,18.04456876619829,5.239616569774494,8.30886474575637
Jalen Tolbert,WR,DAL,0.14254760576808997,0.6409800778110674,3.210528533477325,13.049579364371654,41.89604689919209,0.19232318381639024,21.926029185855704,5.343543792817551,8.554072326294875
Keon Coleman,WR,BUF,0.14449335306755126,0.5803725033963955,2.526452911268136,15.99248468412561,40.40425948862023,0.1557277873696129,16.759955127345506,4.9747926730797,7.501245584347837
Rome Odunze,WR,CHI,0.17111045262726546,0.592215301571018,3.1150022824961385,12.855504000321545,40.04492430363985,0.16494485791344843,19.75323399766641,4.994161577844676,8.109163860340814
Rashod Bateman,WR,BAL,0.15262838215932809,0.6107349873138541,2.7877343359367703,14.192102180025435,39.56381054638,0.17785587480170362,20.73493692623267,5.023516303448222,7.811250639384992
Cole Kmet,TE,CHI,0.15434160102514582,0.7268577510950353,3.4485349492383786,11.400551571227856,39.31520053397377,0.1762018979811965,19.69215182588775,4.988731441284556,8.437266390522934
